Event Type,Start Time,End Time,,Aligned to fibre start,End Aligned
nose poke into aperture,67.848487,,,1.848487,
nose poke into aperture,153.101319,,,87.101319,
nose poke into aperture,338.771444,,,272.771444,
nose poke into aperture,340.287257,,,274.287257,
nose poke into aperture,343.28888,,,277.28888,
nose poke into aperture,787.260929,,,721.260929,
nose poke into aperture,851.680013,,,785.680013,
nose poke into aperture,853.132351,,,787.132351,
box sniff,928.905044,,,862.905044,
box sniff,931.616657,,,865.616657,
nose poke into aperture,932.201369,,,866.201369,
box sniff,966.528691,,,900.528691,
nose poke into aperture,967.012658,,,901.012658,
nose poke into aperture,968.833116,,,902.833116,
bedding pull,969.512117,970.094815,,903.512117,904.094815
box sniff,1080.418321,,,1014.418321,
nose poke into aperture,1081.117938,,,1015.117938,
box sniff,1178.476934,,,1112.476934,
box sniff,1392.414304,,,1326.414304,
box sniff,1393.812744,,,1327.812744,
nose poke into aperture,1576.291638,,,1510.291638,
nose poke into aperture,1578.109305,,,1512.109305,
bedding pull,1578.674079,1581.505679,,1512.674079,1515.505679
nose poke into aperture,1582.405916,,,1516.405916,
bedding pull,1582.755584,1585.553935,,1516.755584,1519.553935
nose poke into aperture,1589.334075,,,1523.334075,
nose poke into aperture,1592.39926,,,1526.39926,
nose poke into aperture,1716.906789,,,1650.906789,
nose poke into aperture,1717.149993,,,1651.149993,
nose poke into aperture,1717.976242,,,1651.976242,
nose poke into aperture,1719.032804,,,1653.032804,
nose poke into aperture,1720.188048,,,1654.188048,
nose poke into aperture,1725.285775,,,1659.285775,
bedding pull,1725.403117,1725.86955,,1659.403117,1659.86955
bedding pull,1726.934672,1728.388674,,1660.934672,1662.388674
nose poke into aperture,2052.799114,,,1986.799114,
bedding pull,2053.794538,2055.694389,,1987.794538,1989.694389
bedding pull,2056.826206,2058.326597,,1990.826206,1992.326597
box sniff,2273.238268,,,2207.238268,
box sniff,2274.650953,,,2208.650953,
nose poke into aperture,2789.947409,,,2723.947409,
nose poke into aperture,2791.39773,,,2725.39773,
nose poke into aperture,2792.81353,,,2726.81353,
nose poke into aperture,2842.349127,,,2776.349127,
bedding pull,2844.081369,2848.444969,,2778.081369,2782.444969
bedding pull,2852.859624,2856.691447,,2786.859624,2790.691447
nose poke into aperture,2864.986133,,,2798.986133,
nose poke into aperture,2865.818845,,,2799.818845,
bedding pull,2866.619382,2872.318984,,2800.619382,2806.318984
nose poke into aperture,3076.917916,,,3010.917916,
nose poke into aperture,3390.607826,,,3324.607826,
nose poke into aperture,3768.244124,,,3702.244124,
nose poke into aperture,3769.343807,,,3703.343807,
nose poke into aperture,3771.742976,,,3705.742976,
bedding pull,3772.659138,3773.975029,,3706.659138,3707.975029
nose poke into aperture,3777.806723,,,3711.806723,
bedding pull,3778.20741,3779.887709,,3712.20741,3713.887709
bedding pull,3780.754169,3782.087024,,3714.754169,3716.087024
bedding pull,3782.853306,3783.17042,,3716.853306,3717.17042
bedding pull,3784.486426,3786.318845,,3718.486426,3720.318845
bedding pull,3793.997067,3795.997054,,3727.997067,3729.997054
bedding pull,3796.995938,3797.379361,,3730.995938,3731.379361
nose poke into aperture,3806.873282,,,3740.873282,
bedding pull,3808.744165,3813.387128,,3742.744165,3747.387128
nose poke into aperture,3910.51668,,,3844.51668,
nose poke into aperture,3911.615894,,,3845.615894,
bedding pull,3912.415443,3913.214549,,3846.415443,3847.214549
nose poke into aperture,3953.249275,,,3887.249275,
bedding pull,3954.419352,3956.531452,,3888.419352,3890.531452
bedding pull,3958.929728,3959.846429,,3892.929728,3893.846429
nose poke into aperture,3969.87397,,,3903.87397,
nose poke into aperture,4015.937217,,,3949.937217,
nose poke into aperture,4016.936087,,,3950.936087,
bedding pull,4017.619362,4018.619315,,3951.619362,3952.619315
bedding pull,4019.136466,4019.65486,,3953.136466,3953.65486
bedding pull,4020.951499,4022.416751,,3954.951499,3956.416751
nose poke into aperture,4276.090467,,,4210.090467,
nose poke into aperture,4278.822035,,,4212.822035,
bedding pull,4279.888095,4280.354032,,4213.888095,4214.354032
nose poke into aperture,4527.436731,,,4461.436731,
nose poke into aperture,4528.66413,,,4462.66413,
nose poke into aperture,4950.297326,,,4884.297326,
bedding pull,4951.429884,4951.845845,,4885.429884,4885.845845
nose poke into aperture,5083.604472,,,5017.604472,
nose poke into aperture,5130.493344,,,5064.493344,
nose poke into aperture,5132.954065,,,5066.954065,
bedding pull,5136.435689,5137.868824,,5070.435689,5071.868824
nose poke into aperture,5139.683925,,,5073.683925,
nose poke into aperture,5143.565436,,,5077.565436,
nose poke into aperture,5145.613715,,,5079.613715,
nose poke into aperture,5593.534167,,,5527.534167,
box sniff,5812.028013,,,5746.028013,
nose poke into aperture,6119.424625,,,6053.424625,
nose poke into aperture,6123.205808,,,6057.205808,
box sniff,7070.305895,,,7004.305895,
