Event Type,Start Time,End Time,,Aligned to fibre start,End Aligned
Nose poke at aperture,2165.891966,,,2098.891966,
Bedding pull,2166.537668,2167.121037,,2099.537668,2100.121037
Nose poke at aperture,2169.135919,,,2102.135919,
Bedding pull,2170.135612,2175.982928,,2103.135612,2108.982928
Bedding pull,2182.283806,2186.610191,,2115.283806,2119.610191
Bedding pull,2192.390622,2195.571896,,2125.390622,2128.571896
Bedding pull,2197.005217,2199.770003,,2130.005217,2132.770003
Nose poke at aperture,2201.718899,,,2134.718899,
Nose poke at aperture,2208.381679,,,2141.381679,
Bedding pull,2209.030796,2211.750489,,2142.030796,2144.750489
Nose poke at aperture,2229.220995,,,2162.220995,
Bedding pull,2231.085773,2234.467648,,2164.085773,2167.467648
Bedding pull,2235.284201,2239.997802,,2168.284201,2172.997802
Bedding pull,2243.396003,2247.377074,,2176.396003,2180.377074
Bedding pull,2249.79288,2252.357848,,2182.79288,2185.357848
Nose poke at aperture,2253.395135,,,2186.395135,
Nose poke at aperture,2253.840201,,,2186.840201,
Bedding pull,2254.906488,2256.805769,,2187.906488,2189.805769
Nose poke at aperture,2259.686481,,,2192.686481,
Nose poke at aperture,2262.685616,,,2195.685616,
Nose poke at aperture,2265.484235,,,2198.484235,
Nose poke at aperture,2274.749585,,,2207.749585,
Nose poke at aperture,2526.069451,,,2459.069451,
Nose poke at aperture,2534.016796,,,2467.016796,
Box sniff,2858.077907,,,2791.077907,
Nose poke at aperture,2860.676325,,,2793.676325,
Box sniff,2867.37243,,,2800.37243,
Box sniff,2870.674183,,,2803.674183,
Nose poke at aperture,3082.199015,,,3015.199015,
Nose poke at aperture,3085.013969,,,3018.013969,
Bedding pull,3086.965628,3088.64542,,3019.965628,3021.64542
Nose poke at aperture,3092.393119,,,3025.393119,
Nose poke at aperture,3093.326755,,,3026.326755,
Bedding pull,3096.711741,3098.590089,,3029.711741,3031.590089
Nose poke at aperture,3155.059253,,,3088.059253,
Nose poke at aperture,3157.173662,,,3090.173662,
Nose poke at aperture,3159.239972,,,3092.239972,
Bedding pull,3159.756217,3163.837562,,3092.756217,3096.837562
Nose poke at aperture,3164.444964,,,3097.444964,
Nose poke at aperture,3179.977697,,,3112.977697,
Nose poke at aperture,3197.085264,,,3130.085264,
Nose poke at aperture,3200.150223,,,3133.150223,
Bedding pull,3202.498663,3203.168967,,3135.498663,3136.168967
Bedding pull,3204.36527,3207.267423,,3137.36527,3140.267423
Bedding pull,3207.863506,3213.276069,,3140.863506,3146.276069
Nose poke at aperture,3214.425551,,,3147.425551,
Nose poke at aperture,3216.025007,,,3149.025007,
Nose poke at aperture,3217.224699,,,3150.224699,
Nose poke at aperture,3219.73933,,,3152.73933,
Bedding pull,3220.278074,3231.66721,,3153.278074,3164.66721
Bedding pull,3235.148439,3235.648202,,3168.148439,3168.648202
Nose poke at aperture,3239.512343,,,3172.512343,
Nose poke at aperture,3242.294272,,,3175.294272,
Nose poke at aperture,3243.993688,,,3176.993688,
Nose poke at aperture,3249.960571,,,3182.960571,
Nose poke at aperture,3253.387551,,,3186.387551,
Bedding pull,3253.841295,3258.318785,,3186.841295,3191.318785
Bedding pull,3258.984514,3262.970494,,3191.984514,3195.970494
Bedding pull,3264.598563,3265.414336,,3197.598563,3198.414336
Bedding pull,3271.714639,3280.440442,,3204.714639,3213.440442
Bedding pull,3282.388183,3286.336646,,3215.388183,3219.336646
Bedding pull,3287.452883,3293.153783,,3220.452883,3226.153783
Bedding pull,3293.899077,3296.630676,,3226.899077,3229.630676
Nose poke at aperture,3299.146275,,,3232.146275,
Nose poke at aperture,3300.585815,,,3233.585815,
Nose poke at aperture,3545.674228,,,3478.674228,
Nose poke at aperture,3585.558509,,,3518.558509,
Nose poke at aperture,3838.7656,,,3771.7656,
Nose poke at aperture,3850.674701,,,3783.674701,
Nose poke at aperture,3873.304297,,,3806.304297,
Bedding pull,3874.044803,3874.761452,,3807.044803,3807.761452
Bedding pull,3879.242182,3885.122668,,3812.242182,3818.122668
Nose poke at aperture,3889.069851,,,3822.069851,
Bedding pull,3890.152925,3896.615578,,3823.152925,3829.615578
Nose poke at aperture,3921.253183,,,3854.253183,
Bedding pull,3922.202641,3922.985756,,3855.202641,3855.985756
Bedding pull,3923.685443,3933.829732,,3856.685443,3866.829732
Bedding pull,3937.311009,3939.311015,,3870.311009,3872.311015
Nose poke at aperture,3940.159512,,,3873.159512,
Bedding pull,3940.831252,3950.837558,,3873.831252,3883.837558
Nose poke at aperture,3952.820412,,,3885.820412,
Nose poke at aperture,4085.431158,,,4018.431158,
Nose poke at aperture,4089.42724,,,4022.42724,
Bedding pull,4090.127471,4092.109225,,4023.127471,4025.109225
Bedding pull,4094.079451,4096.361215,,4027.079451,4029.361215
Bedding pull,4097.107378,4098.239669,,4030.107378,4031.239669
Nose poke at aperture,4102.153684,,,4035.153684,
Bedding pull,4103.770045,4104.386845,,4036.770045,4037.386845
Nose poke at aperture,4105.851844,,,4038.851844,
Bedding pull,4106.734804,4113.3305,,4039.734804,4046.3305
Bedding pull,4114.830591,4123.225318,,4047.830591,4056.225318
Bedding pull,4124.108887,4140.616773,,4057.108887,4073.616773
Bedding pull,4141.764833,4153.092519,,4074.764833,4086.092519
Bedding pull,4157.090185,4161.354294,,4090.090185,4094.354294
Nose poke at aperture,4168.084692,,,4101.084692,
Bedding pull,4168.618426,4172.336354,,4101.618426,4105.336354
Bedding pull,4173.381825,4176.86345,,4106.381825,4109.86345
Bedding pull,4179.045445,4183.259459,,4112.045445,4116.259459
Bedding pull,4184.641806,4185.541319,,4117.641806,4118.541319
Nose poke at aperture,4187.907026,,,4120.907026,
Bedding pull,4193.807887,4198.518199,,4126.807887,4131.518199
Bedding pull,4199.555035,4203.081373,,4132.555035,4136.081373
Bedding pull,4203.598553,4208.612064,,4136.598553,4141.612064
Nose poke at aperture,4210.78234,,,4143.78234,
Nose poke at aperture,4235.362064,,,4168.362064,
Nose poke at aperture,4349.458874,,,4282.458874,
Nose poke at aperture,4349.644246,,,4282.644246,
Nose poke at aperture,4354.224308,,,4287.224308,
Nose poke at aperture,4357.606383,,,4290.606383,
Nose poke at aperture,4362.353185,,,4295.353185,
Nose poke at aperture,4363.469115,,,4296.469115,
Nose poke at aperture,4364.602606,,,4297.602606,
Nose poke at aperture,4595.588336,,,4528.588336,
Nose poke at aperture,4760.902759,,,4693.902759,
Nose poke at aperture,4786.68801,,,4719.68801,
Nose poke at aperture,4788.054115,,,4721.054115,
Nose poke at aperture,4791.285639,,,4724.285639,
Nose poke at aperture,4800.531505,,,4733.531505,
Bedding pull,4800.963812,4806.165484,,4733.963812,4739.165484
Bedding pull,4808.159488,4808.780311,,4741.159488,4741.780311
Nose poke at aperture,4810.841513,,,4743.841513,
Nose poke at aperture,4811.961346,,,4744.961346,
Nose poke at aperture,4812.790586,,,4745.790586,
Nose poke at aperture,4813.673117,,,4746.673117,
Nose poke at aperture,5126.141095,,,5059.141095,
Bedding pull,5127.09575,5128.157029,,5060.09575,5061.157029
Nose poke at aperture,5276.347722,,,5209.347722,
Nose poke at aperture,5279.012044,,,5212.012044,
Bedding pull,5281.276946,5287.460912,,5214.276946,5220.460912
Bedding pull,5287.973374,5288.695401,,5220.973374,5221.695401
Bedding pull,5292.089779,5297.167615,,5225.089779,5230.167615
Bedding pull,5462.468291,5463.851205,,5395.468291,5396.851205
Bedding pull,5465.866109,5470.713613,,5398.866109,5403.713613
Bedding pull,5471.180968,5477.428712,,5404.180968,5410.428712
Bedding pull,5479.509554,5483.573331,,5412.509554,5416.573331
Nose poke at aperture,5498.498993,,,5431.498993,
Nose poke at aperture,5499.431335,,,5432.431335,
Nose poke at aperture,5500.164323,,,5433.164323,
Nose poke at aperture,5503.434177,,,5436.434177,
Nose poke at aperture,5505.877917,,,5438.877917,
Nose poke at aperture,6218.467316,,,6151.467316,
Nose poke at aperture,6221.099716,,,6154.099716,
Nose poke at aperture,6222.181605,,,6155.181605,
Nose poke at aperture,6591.163375,,,6524.163375,
Nose poke at aperture,6714.669664,,,6647.669664,
Nose poke at aperture,6747.428785,,,6680.428785,
Nose poke at aperture,6754.325401,,,6687.325401,
Nose poke at aperture,6755.824654,,,6688.824654,
