Event Type,Start Time,End Time,,Aligned to fibre start,End Aligned
Box sniff,91.724801,,,24.724801,
Box sniff,92.778596,,,25.778596,
Nose poke at aperture,132.909431,,,65.909431,
Nose poke at aperture,134.388112,,,67.388112,
Nose poke at aperture,276.515502,,,209.515502,
Nose poke at aperture,278.582389,,,211.582389,
Nose poke at aperture,324.736661,,,257.736661,
Nose poke at aperture,512.630438,,,445.630438,
Nose poke at aperture,515.928501,,,448.928501,
Bedding pull,644.538125,649.398166,,577.538125,582.398166
Nose poke at aperture,645.139589,,,578.139589,
Nose poke at aperture,652.530025,,,585.530025,
Nose poke at aperture,658.742807,,,591.742807,
Bedding pull,659.243422,662.425535,,592.243422,595.425535
Bedding pull,673.007586,674.419493,,606.007586,607.419493
Bedding pull,675.451201,677.501003,,608.451201,610.501003
Nose poke at aperture,678.699068,,,611.699068,
Bedding pull,684.078968,687.144253,,617.078968,620.144253
Bedding pull,688.060731,693.261558,,621.060731,626.261558
Nose poke at aperture,696.492029,,,629.492029,
Bedding pull,697.20574,698.505197,,630.20574,631.505197
Nose poke at aperture,699.854302,,,632.854302,
Nose poke at aperture,703.518455,,,636.518455,
Bedding pull,704.052045,705.871609,,637.052045,638.871609
Bedding pull,709.248872,711.56815,,642.248872,644.56815
Nose poke at aperture,713.979622,,,646.979622,
Nose poke at aperture,722.259721,,,655.259721,
Nose poke at aperture,731.904325,,,664.904325,
Nose poke at aperture,755.790976,,,688.790976,
Nose poke at aperture,789.892848,,,722.892848,
Bedding pull,791.210497,792.109305,,724.210497,725.109305
Bedding pull,793.421894,798.586188,,726.421894,731.586188
Bedding pull,799.785595,800.785314,,732.785595,733.785314
Bedding pull,801.584915,805.166771,,734.584915,738.166771
Nose poke at aperture,807.247935,,,740.247935,
Nose poke at aperture,809.91319,,,742.91319,
Nose poke at aperture,819.623955,,,752.623955,
Nose poke at aperture,822.656954,,,755.656954,
Bedding pull,823.592394,826.937142,,756.592394,759.937142
Bedding pull,827.857335,831.401661,,760.857335,764.401661
Nose poke at aperture,885.751997,,,818.751997,
Nose poke at aperture,942.608331,,,875.608331,
Bedding pull,943.841577,945.640477,,876.841577,878.640477
Bedding pull,949.78879,950.52512,,882.78879,883.52512
Bedding pull,952.93616,958.319694,,885.93616,891.319694
Nose poke at aperture,1032.094345,,,965.094345,
Bedding pull,1033.273143,1034.921647,,966.273143,967.921647
Nose poke at aperture,1260.441617,,,1193.441617,
Box sniff,1273.204569,,,1206.204569,
Bedding pull,1274.017776,1274.904132,,1207.017776,1207.904132
Nose poke at aperture,1276.732625,,,1209.732625,
Nose poke at aperture,1445.226685,,,1378.226685,
Box sniff,1449.651967,,,1382.651967,
Nose poke at aperture,1463.094494,,,1396.094494,
Nose poke at aperture,1698.510833,,,1631.510833,
Nose poke at aperture,1709.604877,,,1642.604877,
Nose poke at aperture,1713.869452,,,1646.869452,
Bedding pull,1714.752218,1716.551822,,1647.752218,1649.551822
Nose poke at aperture,1718.283078,,,1651.283078,
Nose poke at aperture,1850.9322,,,1783.9322,
Nose poke at aperture,1854.917462,,,1787.917462,
Nose poke at aperture,2011.673463,,,1944.673463,
Bedding pull,2012.908283,2013.722241,,1945.908283,1946.722241
Bedding pull,2014.754618,2017.673217,,1947.754618,1950.673217
Box sniff,2020.900454,,,1953.900454,
Nose poke at aperture,2031.462599,,,1964.462599,
Nose poke at aperture,2035.693293,,,1968.693293,
Bedding pull,2037.141961,2042.789448,,1970.141961,1975.789448
Bedding pull,2045.670875,2054.599395,,1978.670875,1987.599395
Nose poke at aperture,2059.664274,,,1992.664274,
Bedding pull,2060.479385,2067.274788,,1993.479385,2000.274788
Bedding pull,2070.373905,2071.324418,,2003.373905,2004.324418
Bedding pull,2079.835067,2080.451723,,2012.835067,2013.451723
Bedding pull,2082.685078,2089.130111,,2015.685078,2022.130111
Nose poke at aperture,2092.812365,,,2025.812365,
Nose poke at aperture,2119.496674,,,2052.496674,
Bedding pull,2120.649427,2124.011548,,2053.649427,2057.011548
Bedding pull,2126.542488,2127.126393,,2059.542488,2060.126393
Nose poke at aperture,2128.391824,,,2061.391824,
Nose poke at aperture,2130.99215,,,2063.99215,
Bedding pull,2132.307817,2132.742948,,2065.307817,2065.742948
Bedding pull,2133.859739,2135.778178,,2066.859739,2068.778178
Nose poke at aperture,2139.019998,,,2072.019998,
Nose poke at aperture,2140.820795,,,2073.820795,
Bedding pull,2142.085365,2142.754404,,2075.085365,2075.754404
Bedding pull,2143.984039,2144.522662,,2076.984039,2077.522662
Bedding pull,2147.519943,2149.614134,,2080.519943,2082.614134
Nose poke at aperture,2159.492201,,,2092.492201,
Nose poke at aperture,2161.990767,,,2094.990767,
Nose poke at aperture,2162.440518,,,2095.440518,
Bedding pull,2162.673249,2164.372636,,2095.673249,2097.372636
